lab,product,claim_text,claim_type,claim_theme,published_date,source_url,supporting_details,notes
Anthropic,Claude Opus 4,"Claude Opus 4 is our most powerful model yet and the best coding model in the world, leading on SWE-bench (72.5%) and Terminal-bench (43.2%).",Benchmark result,Coding performance,2025-05-22,https://www.anthropic.com/news/claude-4,Headline section enumerates benchmark percentages for SWE-bench and Terminal-bench.,Publication date aligned with Claude 4 launch window; confirm via internal release log.
Anthropic,Claude Sonnet 4,"Claude Sonnet 4 significantly improves on Sonnet 3.7's industry-leading capabilities, excelling in coding with a state-of-the-art 72.7% on SWE-bench.",Benchmark result,Coding performance,2025-05-22,https://www.anthropic.com/news/claude-4,Same launch article quantifies Sonnet 4's SWE-bench score.,Verify launch date before export.
Anthropic,Claude 4 family,Both models are 65% less likely to engage in this behavior than Sonnet 3.7 on agentic tasks that are particularly susceptible to shortcuts and loopholes.,Behavioral improvement,Safety and reliability,2025-05-22,https://www.anthropic.com/news/claude-4,Article quantifies reduction in shortcut-seeking behavior relative to Sonnet 3.7.,Behavior measurement covers agentic task suite; details in appendix.
Anthropic,Claude Sonnet 4.5,"Claude Sonnet 4.5 represents a significant leap forward on computer use. On OSWorld, a benchmark that tests AI models on real-world computer tasks, Sonnet 4.5 now leads at 61.4%. Just four months ago, Sonnet 4 held the lead at 42.2%.",Benchmark result,Computer use,2025-09-29,https://www.anthropic.com/news/claude-sonnet-4-5,Marketing post compares OSWorld Verified scores across model generations.,Dates derived from Claude Sonnet product timeline; confirm annually.
Anthropic,Claude Sonnet 4.5,"Practically speaking, we have observed it maintaining focus for more than 30 hours on complex, multi-step tasks.",Usage capability,Agent endurance,2025-09-29,https://www.anthropic.com/news/claude-sonnet-4-5,Statement highlights extended task persistence in launch narrative.,Qualifies qualitative endurance claim with quantitative runtime.
Anthropic,Claude Sonnet 4.5,"SWE-bench Verified: All Claude results were reported using a simple scaffold with two tools - bash and file editing via string replacements. We report 77.2%, which was averaged over 10 trials, no test-time compute, and 200K thinking budget on the full 500-problem SWE-bench Verified dataset.",Benchmark result,Coding performance,2025-09-29,https://www.anthropic.com/news/claude-sonnet-4-5,Footnote specifies methodology and aggregate score for Sonnet 4.5 on SWE-bench Verified.,Capture methodological context for claim reconciliation.
Anthropic,Claude Opus 4.1,"Pricing for Claude Opus 4.1 starts at $15 per million input tokens and $75 per million output tokens, with up to 90% cost savings with prompt caching and 50% cost savings with batch processing.",Pricing,Cost structure,2025-08-05,https://www.anthropic.com/claude/opus,Product page outlines price points and advertised savings for caching and batching.,Monitor for pricing updates across API tiers.
Anthropic,Claude Opus 4.1,We also saw impressive efficiency gains: up to 50% faster task completion with 45% fewer tool uses.,User efficiency,Productivity,2025-08-05,https://www.anthropic.com/claude/opus,Customer testimonial section quantifies observed efficiency improvements.,Derived from partner quote on Opus 4.1 page.
OpenAI,GPT-5,"It sets a new state of the art across math (94.6% on AIME 2025 without tools), real-world coding (74.9% on SWE-bench Verified, 88% on Aider Polyglot), multimodal understanding (84.2% on MMMU), and health (46.2% on HealthBench Hard).",Benchmark result,Multi-domain performance,2025-10-01,https://openai.com/blog/introducing-gpt-5,Launch blog enumerates headline benchmark scores for GPT-5 across key domains.,Percentages drawn directly from public launch copy; validate against system card.
OpenAI,GPT-5,"With GPT-5 pro's extended reasoning, the model also sets a new SOTA on GPQA, scoring 88.4% without tools.",Benchmark result,Graduate reasoning,2025-10-01,https://openai.com/blog/introducing-gpt-5,Same article highlights GPQA improvement for GPT-5 pro mode.,Aligns with GPQA diamond reporting in system card.
OpenAI,GPT-5,"In our evaluations, GPT-5 (with thinking) performs better than OpenAI o3 with 50-80% less output tokens across capabilities, including visual reasoning, agentic coding, and graduate-level scientific problem solving.",Efficiency claim,Reasoning efficiency,2025-10-01,https://openai.com/blog/introducing-gpt-5,Launch blog compares token usage efficiency versus OpenAI o3.,Quantified range reflects evaluation span; no single benchmark specified.
